70; 0
1; 1
1.1; 0.909091
1.2; 0.833333
1.3; 0.769231
1.4; 0.714286
1.5; 0.666667
1.6; 0.625
1.7; 0.588235
1.8; 0.555556
1.9; 0.526316
2; 0.5
2.1; 0.47619
2.2; 0.454545
2.3; 0.434783
2.4; 0.416667
2.5; 0.4
2.6; 0.384615
2.7; 0.37037
2.8; 0.357143
2.9; 0.344828
3; 0.333333
3.1; 0.322581
3.2; 0.3125
3.3; 0.30303
3.4; 0.294118
3.5; 0.285714
3.6; 0.277778
3.7; 0.27027
3.8; 0.263158
3.9; 0.25641
4; 0.25
4.1; 0.243902
4.2; 0.238095
4.3; 0.232558
4.4; 0.227273
4.5; 0.222222
4.6; 0.217391
4.7; 0.212766
4.8; 0.208333
4.9; 0.204082
5; 0.2
5.1; 0.196078
5.2; 0.192308
5.3; 0.188679
5.4; 0.185185
5.5; 0.181818
5.6; 0.178571
5.7; 0.175439
5.8; 0.172414
5.9; 0.169492
